id|titulo|precioOld|precioNew|imagen|link
60|Smartphone Samsung Galaxy S4 Mini Duos I9192 8GB 8MP 4.3'' Desbloqueado - Negro|1699.00|649.00|//media.linio.com.pe/p/samsung-9377-8626331-1-product.jpg|/p/smartphone-samsung-galaxy-s4-mini-duos-i9192-8gb-8mp-43-desbloqueado-negro-lebzu1
61|Amgoo - Smartphone AM506G Liberado - Azul|269.00|159.00|//media.linio.com.pe/p/amgoo-1914-1920931-1-product.jpg|/p/amgoo-smartphone-am506g-liberado-azul-wx9yt5
62|Amgoo - Smartphones AM506G Liberado - Negro|269.00|159.00|//media.linio.com.pe/p/amgoo-1912-9820931-1-product.jpg|/p/amgoo-smartphones-am506g-liberado-negro-jpkmgp
63|Blackberry - Curve 9320 Desbloqueado - Negro|799.00|449.00|//media.linio.com.pe/p/blackberry-2615-8858611-1-product.jpg|/p/blackberry-curve-9320-desbloqueado-negro-ld4fwt
64|Smartphone LG G4 H815 32G 4G LTE Desbloqueado - Tapa de cuero Marrón|3199.00|1779.00|//media.linio.com.pe/p/lg-7081-3161031-1-product.jpg|/p/smartphone-lg-g4-h815-32g-4g-lte-desbloqueado-tapa-de-cuero-marro-n-tr0nax
65|Huawei P8 Lite,Octa Core,13mpx,ram 2gb,Desbloqueado Color Blanco|1999.00|979.00|//media.linio.com.pe/p/huawei-9490-0149341-1-product.jpg|/p/huawei-p8-lite-octa-core-13mpx-ram-2gb-desbloqueado-color-blanco-yplvh8
66|Samsung Galaxy E7 5.5" 16GB 13MP 4G LTE- Negro|1099.00|989.00|//media.linio.com.pe/p/samsung-0897-8268711-1-product.jpg|/p/samsung-galaxy-e7-55-16gb-13mp-4g-lte-negro-lgottf
67|Altron - Smartphone GI-551 8GB 8MP 3G + Funda de regalo - Negro|499.00|369.00|//media.linio.com.pe/p/altron-7430-6287731-1-product.jpg|/p/altron-smartphone-gi-551-8gb-8mp-3g-funda-de-regalo-negro-orrjk5
68|iPro - Celular Q10 3.5'' Android 4.2.2 3.5" Desbloqueado - Blanco-Negro.|399.00|259.99|//media.linio.com.pe/p/ipro-7793-989629-1-product.jpg|/p/ipro-celular-q10-35-android-422-35-desbloqueado-blanco-negro-jpo4y5
69|Huawei Y625 Dual Sim 8MP 5' Quad Core 1.2Ghz Android 4.4 KitKat - Negro|699.00|489.00|//media.linio.com.pe/p/huawei-5470-5428141-1-product.jpg|/p/huawei-y625-dual-sim-8mp-5-quad-core-12ghz-android-44-kitkat-negro-qe5aew
70|Altron - Fitness Watch - Rosado|199.00|69.00|//media.linio.com.pe/p/altron-4729-4010711-1-product.jpg|/p/altron-fitness-watch-rosado-s4197p
71|Smartphone Samsung Galaxy J7 J700M  16GB 13MP 5.5'' Desbloqueado - Dorado|1744.99|1027.99|//media.linio.com.pe/p/samsung-9907-2266141-1-product.jpg|/p/smartphone-samsung-galaxy-j7-j700m-16gb-13mp-55-desbloqueado-dorado-vdy8m8
72|Huawei P8 Lite OCTACore 5" 16GB 2GbRAM 13MP + 5MPfrontal 4GLte - NEGRO|1299.00|899.00|//media.linio.com.pe/p/huawei-2828-5292741-1-product.jpg|/p/huawei-p8-lite-octacore-5-16gb-2gbram-13mp-5mpfrontal-4glte-negro-qfazwi
